gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
164,2.496406802080427,1.5998915741263384,1.933216020360366,0.8556469078945252,36.983333333333334,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
165,2.496406802080427,1.6775748137212587,1.9253760836008391,0.83314549424044,36.141666666666666,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
166,2.496406802080427,1.724767663407151,1.9204607617267708,0.751283808720232,32.99166666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
167,2.496406802080427,1.6683490870886204,1.8854586640602142,0.7918965186791062,34.15,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
168,2.496406802080427,1.6792179852456048,1.9911382410723064,0.8257200536312753,37.075,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
169,2.496406802080427,1.665849278483173,1.9423883663259267,0.7857120174931684,38.44166666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
170,2.496406802080427,1.6064994518430262,1.771177967421992,0.7776284011193644,38.34166666666667,47,3.0,5.0,5.0,10.0,0.0007843716168675966,3824.7176918264313,243.03332425194972
171,2.4965011226838523,1.722483738283313,1.8768447111693103,0.766982125579801,41.46666666666667,46,3.0,5.0,5.0,10.0,0.0005077496021999981,5908.42412677721,217.65913661706745
172,2.4965011226838523,1.5412148405346509,1.704004987365865,0.8192605771191298,37.7,46,3.0,5.0,5.0,10.0,0.0005077496021999981,5908.42412677721,217.65913661706745
173,2.4966345590541366,1.5224413229290297,1.6929383420287496,0.8161381602110621,34.88333333333333,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
174,2.4966345590541366,1.5905569365362313,1.7531163460549457,0.7757975977913704,38.575,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
175,2.4966345590541366,1.6741124454058618,1.9755354420460935,0.7939485312839031,36.55833333333333,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
176,2.4966345590541366,1.7639090171126521,2.024004617736826,0.7401189484733921,39.85,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
177,2.4966345590541366,1.68435215353855,1.8864629746923502,0.7761829213191075,35.0,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
178,2.4966345590541366,1.710463708842052,1.9036478829457844,0.7413096550079084,39.25833333333333,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
179,2.4966345590541366,1.6368657835010951,1.8218938678739858,0.7848302522035527,39.358333333333334,48,3.0,5.0,5.0,10.0,0.000530898324957146,5650.799520307696,243.93999010097704
180,2.4967216475512966,1.5607672793021257,1.6924320501784385,0.8262356086033318,35.96666666666667,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
181,2.4967216475512966,1.7577425016669297,2.045098358777019,0.7449419706384036,39.35,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
182,2.4967216475512966,1.7462901073555084,2.0372614572588192,0.8097355773936377,40.483333333333334,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
183,2.4967216475512966,1.7575902673668078,2.0632943941095765,0.7532358263564266,41.13333333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
184,2.4967216475512966,1.7050985390234863,1.9485377799835837,0.7828580452385753,40.483333333333334,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
185,2.4967216475512966,1.7104312379841622,1.9341304465558298,0.7884197981637907,36.38333333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
186,2.4967216475512966,1.6779911385777093,1.8951475873988501,0.7820264073219104,40.95,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
187,2.4967216475512966,1.7091981561552507,2.1050502966619042,0.8333135642271676,41.30833333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
188,2.4967216475512966,1.6245255667925524,1.9064938229176929,0.81600750475268,38.641666666666666,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
189,2.4967216475512966,1.6654817204118295,2.0577046225476696,0.8386974032438472,43.80833333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
190,2.4967216475512966,1.63039515125453,1.7504301480573945,0.7907703872273221,39.00833333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
191,2.4967216475512966,1.6734364265146155,1.964266911254016,0.829782056204139,38.90833333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
192,2.4967216475512966,1.7276415344049667,1.8999926165930003,0.7357970702888972,40.88333333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
193,2.4967216475512966,1.70515630689869,2.070550049588772,0.8270359541081096,40.74166666666667,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
194,2.4967216475512966,1.7169849180483197,1.9163421876868605,0.7892871311955003,40.00833333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
195,2.4967216475512966,1.7306229866872598,1.9736032784664737,0.753732447859836,40.05,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
196,2.4967216475512966,1.733864694737005,1.9835453861267047,0.7922630594548087,36.43333333333333,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
197,2.4967216475512966,1.6794152621170302,1.9496439935246026,0.806672752216699,39.69166666666667,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
198,2.4967216475512966,1.7283695666677081,2.152618736781731,0.8384793279243027,35.49166666666667,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
199,2.4967216475512966,1.7806839454762058,2.029137785725034,0.7761117396147174,38.025,48,3.0,5.0,5.0,10.0,0.0005249065970627467,5715.302525796573,212.46168565883667
